No,曲名,アーティスト,演奏難易度,エチュード適性,ジャンル定番度,推奨ルート,主スキル,必須スキル,習得スキル,壁,次候補No,次候補曲名,一言説明,練習ポイント,参考動画URL,コメント,技術メモ
1,Deeper Deeper,ONE OK ROCK,1,5,3,邦ロック定番,パワーコード,ピッキング,パワーコード・8ビート,右手の安定,7,完全感覚Dreamer,ギター練習的にかなり優秀。パワーコード入門として優先度高め。,余計な弦を鳴らさず、右手の刻みを安定させる。,,,
2,20th Century Boy,T. Rex,1,4,5,洋楽ロック,低音リフ,ピッキング,単音リフ・低音リフ,リフのノリ,63,A Hard Day's Night,低音リフを伸ばす課題曲。休符とノリが見た目以上に大事。,テンポを落として、リフのノリを1つずつ潰す。,,,
3,Don't Say Lazy,桜高軽音部,2,3,4,邦ロック定番,パワーコード,パワーコード,パワーコード・8ビート,コード移動の安定,6,American Idiot,パワーコードを伸ばす課題曲。余計な弦を鳴らさず、右手の刻みを安定させる。,テンポを落として、コード移動の安定を潰す。,,,
4,曇天,DOES,1,3,4,邦ロック定番,パワーコード,パワーコード,パワーコード・疾走感,テンポキープ,3,Don't Say Lazy,パワーコードを伸ばす課題曲。右手の刻みを安定させる。,テンポを落として、テンポキープを潰す。,,,
5,修羅,DOES,2,3,4,邦ロック定番,パワーコード,パワーコード,パワーコード・リズムギター,テンポと勢い,,,パワーコードを伸ばす課題曲。,テンポを落として、テンポと勢いを潰す。,,,
6,American Idiot,Green Day,2,4,5,邦ロック定番,パワーコード,パワーコード,パワーコード・ストローク,高速コード移動,13,小さな恋のうた,パワーコードを伸ばす課題曲。,テンポを落として、高速コード移動を潰す。,,,
7,完全感覚Dreamer,ONE OK ROCK,4,5,4,邦ロック定番,オクターブ奏法,パワーコード・単音リフ,オクターブ奏法・ロックリフ,オクターブ移動,110,青い春,オクターブ奏法やロックリフの練習になる優秀な曲。,オクターブのミュートと移動を安定させる。,,,
8,Back In Black,AC/DC,2,4,5,洋楽ロック,ローコード,ローコード,ローコードリフ・休符,間の取り方,9,Highway To Hell,開放弦を含むコードでロックの質感を作る。,テンポを落として、間の取り方を潰す。,,,
9,Highway To Hell,AC/DC,2,4,5,洋楽ロック,ローコード,ローコード,ローコードリフ・ロックバッキング,コードのキレ,15,Burn,コードの鳴りとキレを整える。,テンポを落として、コードのキレを潰す。,,,
10,Thunderstruck,AC/DC,4,4,4,洋楽ロック,レガート,単音リフ,ハンマリング・プリング・持久力,粒立ち,39,Don't Stop Me Now,ハンマリングやプリングで滑らかに音をつなぐ。,テンポを落として、粒立ちを潰す。,,,
11,Le Freak,CHIC,4,5,3,カッティング/ファンク,コードカッティング,16ビート・左手ミュート,カッティング・ファンクグルーヴ,左手ミュート,,テレキャスターストライプ,左手ミュートとアクセントでリズムを作る。,テンポを落として、左手ミュートを潰す。,,,
12,Bad Feeling,BOØWY,3,4,3,カッティング/ファンク,コードカッティング,16ビート・左手ミュート,コードカッティング・アクセント,左手ミュート,11,Le Freak,左手ミュートとアクセントでリズムを作る。,テンポを落として、左手ミュートを潰す。,,,
13,小さな恋のうた,MONGOL800,2,4,5,邦ロック定番,ブリッジミュート,パワーコード,ブリッジミュート・8ビート,粒を揃える,16,Smells Like Teen Spirit,右手の位置と力加減で音の長さをコントロールする。,テンポを落として、粒を揃えるを潰す。,,,
14,Smoke On The Water,Deep Purple,1,4,5,邦ロック定番,パワーコード,ピッキング,パワーコードリフ,リズムの間,1,Deeper Deeper,ギター初心者の最初の武器。,テンポを落として、リズムの間を潰す。,,,
15,Burn,Deep Purple,3,4,4,洋楽ロック,パワーコード,パワーコード・単音リフ,パワーコードリフ・ハードロック,テンポとリフの精度,10,Thunderstruck,パワーコードを伸ばす課題曲。,テンポを落として、テンポとリフの精度を潰す。,,,
16,Smells Like Teen Spirit,Nirvana,3,4,5,邦ロック定番,パワーコード,パワーコード・ミュート,パワーコードリフ・ミュート混じりのストローク,ノイズコントロール,,,パワーコードを伸ばす課題曲。,テンポを落として、ノイズコントロールを潰す。,,,
17,Mix Juiceのいうとおり,UNISON SQUARE GARDEN,4,4,3,邦ロック定番,コードワーク,コードチェンジ・アクセント,コードワーク・右手アクセント,アクセントとコード移動,124,場違いハミングバード,ユニゾン枠。コードワークと右手アクセントの練習に向く。,アクセントの位置を明確にして、コードの切替で遅れない。,,,
18,ふわふわ時間,放課後ティータイム,1,3,5,けいおん,パワーコード,パワーコード,パワーコード・バンド入門,曲全体を通す体力,19,私の恋はホッチキス,パワーコードを伸ばす課題曲。,テンポを落として、曲全体を通す体力を潰す。,,,
19,私の恋はホッチキス,放課後ティータイム,3,4,4,けいおん,コードワーク,ローコード・単音リフ,コードワーク・単音リフ・アクセント,コードとリフの切替,20,ふでペンボールペン,コードワークを伸ばす課題曲。,テンポを落として、コードとリフの切替を潰す。,,,
20,ふでペンボールペン,放課後ティータイム,3,4,4,けいおん,単音リフ,パワーコード・単音リフ,単音リフ・クリシェ・パワーコード,フレーズの歌わせ方,24,冬の日,メロディックなリフの入口。,テンポを落として、フレーズの歌わせ方を潰す。,,,
21,U&I,放課後ティータイム,4,5,4,けいおん,カッティング,パワーコード・単音リフ,単音リフ・パワーコード・カッティング,リズムの切替,23,五月雨20ラブ,鳴らさない音を管理する練習。右手と左手の同期が肝。,テンポを落として、リズムの切替を潰す。,,,
22,ぴゅあぴゅあはーと,放課後ティータイム,5,5,4,けいおん,オクターブ奏法,カッティング・単音リフ,オクターブ奏法・カッティング,右手のキレ,26,GO! GO! MANIAC,オクターブ音程でリフを太く聞かせる練習。,テンポを落として、右手のキレを潰す。,,,
23,五月雨20ラブ,放課後ティータイム,4,5,4,けいおん,カッティング,パワーコード・カッティング,パワーコードカッティング,テンポとミュート,25,Listen!!,右手と左手の同期が肝。,テンポを落として、テンポとミュートを潰す。,,,
24,冬の日,放課後ティータイム,2,4,4,けいおん,単音リフ,ピッキング,単音リフ,音価の管理,21,U&I,メロディックなリフの入口。,テンポを落として、音価の管理を潰す。,,,
25,Listen!!,放課後ティータイム,4,5,4,けいおん,コードカッティング,コードワーク・16ビート,コードカッティングリフ,リズムの細かさ,22,ぴゅあぴゅあはーと,左手ミュートとアクセントでリズムを作る。,テンポを落として、リズムの細かさを潰す。,,,
26,GO! GO! MANIAC,放課後ティータイム,6,5,4,けいおん,コードカッティング,コードワーク・16ビート,コードカッティングリフ・高速リズム,テンポとキメ,55,カレーのちライス,左手ミュートとアクセントでリズムを作る。,テンポを落として、テンポとキメを潰す。,,,
27,世界の終わり,THEE MICHELLE GUN ELEPHANT,5,5,3,東京事変/オルタナ,コードカッティング,コードワーク・左手フォーム,コードカッティングリフ・左手フォーム,フォームの安定,,,左手ミュートとアクセントでリズムを作る。,テンポを落として、フォームの安定を潰す。,,,
28,ミッドナイト・クラクション・ベイビー,THEE MICHELLE GUN ELEPHANT,5,5,3,東京事変/オルタナ,コードカッティング,低音リフ・16ビート,コードカッティングリフ・低音弦リフ,リズムの押し引き,,,左手ミュートとアクセントでリズムを作る。,テンポを落として、リズムの押し引きを潰す。,,,
29,God Knows...,涼宮ハルヒ（平野綾）,4,4,5,アニソン/ボカロ,レガート,単音リフ・歪み,ハンマリング・プリング・アニソンリード,速いフレーズの粒,30,Only My Railgun,ハンマリングやプリングで滑らかに音をつなぐ。,テンポを落として、速いフレーズの粒を潰す。,,,
30,Only My Railgun,fripSide,5,4,4,アニソン/ボカロ,ハイゲイン,パワーコード・ブリッジミュート,深い歪み・パワーコードフレーズ・クリシェ,ノイズ処理,33,夜咄ディセイブ,深い歪みの中でノイズを抑えて弾く練習。,テンポを落として、ノイズ処理を潰す。,,,
31,Little Wing,Jimi Hendrix,7,5,3,ブルース,ジミヘンコード,コードワーク・ブルース・カッティング,コードワーク・ジミヘンコード・アクセント,親指フォームと装飾,,,コードとリードの境目を溶かす練習。,テンポを落として、親指フォームと装飾を潰す。,,,
32,Purple Haze,Jimi Hendrix,6,5,3,ブルース,ジミヘンコード,パワーコード・ブルース,ジミヘンコード・左手フォーム,フォームとリフのノリ,37,Pride and Joy,コードとリードの境目を溶かす練習。,テンポを落として、フォームとリフのノリを潰す。,,,
33,夜咄ディセイブ,じん,5,5,4,アニソン/ボカロ,高速フレーズ,単音リフ・カッティング,高速リフ・カッティング,テンポへの追従,41,カゲロウデイズ,速い単音を粒立ちよく弾く練習。,テンポを落として、テンポへの追従を潰す。,,,
